SERVICE_TYPE,AGE_GROUP,MEMBER_SEX,YEAR,APPROVED_AMT,Chronic_Condition,Number_of_Visits
INPT,Senior,F,2017,3657024.14,Dementia,80
INPT,Senior,F,2018,1154725.79,Dementia,14
INPT,Senior,M,2013,1533682.95,Dementia,2
INPT,Senior,M,2014,1029932.29,Dementia,3
INPT,Senior,M,2015,1511443.64,Dementia,13
INPT,Senior,M,2016,1646031.11,Dementia,13
INPT,Senior,M,2017,1422874.1199999999,Dementia,14
INPT,Senior,M,2018,572522.59,Dementia,8
INPT,Teen,F,2013,5234208.77,Dementia,0
INPT,Teen,F,2014,4972119.84,Dementia,0
INPT,Teen,F,2015,6480040.43,Dementia,1
INPT,Teen,F,2016,7931001.15,Dementia,3
INPT,Teen,F,2017,8635115.58,Dementia,4
INPT,Teen,F,2018,7534789.5,Dementia,1
INPT,Teen,M,2013,3206437.61,Dementia,5
INPT,Teen,M,2014,3608024.63,Dementia,2
INPT,Teen,M,2015,5318421.99,Dementia,3
INPT,Teen,M,2016,5272278.84,Dementia,2
INPT,Teen,M,2017,4593779.69,Dementia,0
INPT,Teen,M,2018,5607691.3,Dementia,6
INPT,Very Senior,F,2013,125988.39,Dementia,1
INPT,Very Senior,F,2014,75667.93000000001,Dementia,3
INPT,Very Senior,F,2015,277863.04,Dementia,6
INPT,Very Senior,F,2016,411681.88,Dementia,10
INPT,Very Senior,F,2017,327487.16,Dementia,13
INPT,Very Senior,F,2018,80277.66,Dementia,1
INPT,Very Senior,M,2013,115936.43,Dementia,0
INPT,Very Senior,M,2014,182940.5,Dementia,2
INPT,Very Senior,M,2015,174860.23,Dementia,1
INPT,Very Senior,M,2016,272802.12,Dementia,1
INPT,Very Senior,M,2017,163682.2,Dementia,7
INPT,Very Senior,M,2018,74013,Dementia,3
INPT,Young Adult,F,2013,25930020.31,Dementia,12
INPT,Young Adult,F,2014,28246204.23,Dementia,5
INPT,Young Adult,F,2015,28716004.29,Dementia,5
INPT,Young Adult,F,2016,29129208.9,Dementia,5
INPT,Young Adult,F,2017,30903516.41,Dementia,9
INPT,Young Adult,F,2018,28713908.5,Dementia,6
INPT,Young Adult,M,2013,5766973.61,Dementia,5
INPT,Young Adult,M,2014,5795279.86,Dementia,1
INPT,Young Adult,M,2015,7368311.5,Dementia,6
INPT,Young Adult,M,2016,7263932.05,Dementia,12
INPT,Young Adult,M,2017,6945169.06,Dementia,2
INPT,Young Adult,M,2018,4020384.84,Dementia,1
OTPT,Adult,F,2013,26371180.78,Dementia,264
OTPT,Adult,F,2014,29474834.63000001,Dementia,306
OTPT,Adult,F,2015,33084137.450000007,Dementia,354
OTPT,Adult,F,2016,33341816.86,Dementia,1231
OTPT,Adult,F,2017,34144283.809999995,Dementia,1911
OTPT,Adult,F,2018,29378421.610000003,Dementia,898
OTPT,Adult,M,2013,8484630.57,Dementia,217
OTPT,Adult,M,2014,8993299.81,Dementia,498
OTPT,Adult,M,2015,9992523.93,Dementia,601
OTPT,Adult,M,2016,10262520.75,Dementia,626
OTPT,Adult,M,2017,11108811.040000001,Dementia,820
OTPT,Adult,M,2018,8263724.390000001,Dementia,223
OTPT,Baby,F,2013,14188620.709999999,Dementia,0
OTPT,Baby,F,2014,14954701.06,Dementia,0
OTPT,Baby,F,2015,15614265.27,Dementia,0
OTPT,Baby,F,2016,15867768.37,Dementia,0
OTPT,Baby,F,2017,15785849.26,Dementia,0
OTPT,Baby,F,2018,15113281.69,Dementia,0
OTPT,Baby,M,2013,17827916.11,Dementia,4
OTPT,Baby,M,2014,17682270.41,Dementia,24
OTPT,Baby,M,2015,19558792.229999997,Dementia,0
OTPT,Baby,M,2016,20121305.68,Dementia,0
OTPT,Baby,M,2017,20183089.97,Dementia,0
OTPT,Baby,M,2018,19419288.41,Dementia,9
OTPT,Child,F,2013,15534524.07,Dementia,14
OTPT,Child,F,2014,17613377.970000003,Dementia,5
OTPT,Child,F,2015,20585612.88,Dementia,39
OTPT,Child,F,2016,21212272.050000004,Dementia,120
OTPT,Child,F,2017,23080517.29,Dementia,45
OTPT,Child,F,2018,21023541.76,Dementia,14
OTPT,Child,M,2013,19483157.939999998,Dementia,82
OTPT,Child,M,2014,21393184.42,Dementia,46
OTPT,Child,M,2015,24399274.369999997,Dementia,283
OTPT,Child,M,2016,25694466.340000007,Dementia,596
OTPT,Child,M,2017,28175184.809999995,Dementia,502
OTPT,Child,M,2018,23611522,Dementia,257
OTPT,Middle Age,F,2013,25297355.14,Dementia,1643
OTPT,Middle Age,F,2014,27978943.900000006,Dementia,2419
OTPT,Middle Age,F,2015,32227171.230000004,Dementia,3598
OTPT,Middle Age,F,2016,32072051.019999996,Dementia,7688
OTPT,Middle Age,F,2017,34602019.36,Dementia,9293
OTPT,Middle Age,F,2018,18202307.930000003,Dementia,3356
OTPT,Middle Age,M,2013,16123964.69,Dementia,1548
OTPT,Middle Age,M,2014,18037288.69,Dementia,1981
OTPT,Middle Age,M,2015,20432834.71,Dementia,1837
OTPT,Middle Age,M,2016,20496780.169999998,Dementia,4e3
OTPT,Middle Age,M,2017,22381313.150000002,Dementia,5554
OTPT,Middle Age,M,2018,12257608.47,Dementia,2727
OTPT,PreSchool,F,2013,9443598.54,Dementia,12
OTPT,PreSchool,F,2014,9116648.02,Dementia,0
OTPT,PreSchool,F,2015,9352372.799999999,Dementia,26
OTPT,PreSchool,F,2016,9292851.1,Dementia,5
OTPT,PreSchool,F,2017,9506786.88,Dementia,7
OTPT,PreSchool,F,2018,8431096.72,Dementia,2
OTPT,PreSchool,M,2013,11432647.42,Dementia,30
OTPT,PreSchool,M,2014,11478065.06,Dementia,83
OTPT,PreSchool,M,2015,12126184.17,Dementia,150
OTPT,PreSchool,M,2016,12519989.5,Dementia,91
OTPT,PreSchool,M,2017,12949196.73,Dementia,26
OTPT,PreSchool,M,2018,11620216.530000001,Dementia,0
OTPT,Senior,F,2013,2261000.96,Dementia,533
OTPT,Senior,F,2014,2662182.01,Dementia,1289
OTPT,Senior,F,2015,3016955.72,Dementia,1261
OTPT,Senior,F,2016,3112536.95,Dementia,2358
OTPT,Senior,F,2017,3432754.12,Dementia,3740
OTPT,Senior,F,2018,1539438.19,Dementia,1549
OTPT,Senior,M,2013,949995.81,Dementia,176
OTPT,Senior,M,2014,1097095.4,Dementia,252
OTPT,Senior,M,2015,1150833.79,Dementia,532
OTPT,Senior,M,2016,1276267.36,Dementia,1472
OTPT,Senior,M,2017,1215185.56,Dementia,1117
OTPT,Senior,M,2018,636651.66,Dementia,603
OTPT,Teen,F,2013,12789215.049999999,Dementia,64
OTPT,Teen,F,2014,13597983,Dementia,3
OTPT,Teen,F,2015,16410573.6,Dementia,44
OTPT,Teen,F,2016,16279688.74,Dementia,114
OTPT,Teen,F,2017,17356675.02,Dementia,273
OTPT,Teen,F,2018,16634829.41,Dementia,202
OTPT,Teen,M,2013,8815627.79,Dementia,139
OTPT,Teen,M,2014,9786065.12,Dementia,102
OTPT,Teen,M,2015,11627542.87,Dementia,268
OTPT,Teen,M,2016,12746829.76,Dementia,294
OTPT,Teen,M,2017,13475822.32,Dementia,223
OTPT,Teen,M,2018,11684693.23,Dementia,334
OTPT,Very Senior,F,2013,101929.39,Dementia,305
OTPT,Very Senior,F,2014,87474.22,Dementia,356
OTPT,Very Senior,F,2015,181963.4,Dementia,465
OTPT,Very Senior,F,2016,267827.55,Dementia,707
OTPT,Very Senior,F,2017,274008.79,Dementia,822
OTPT,Very Senior,F,2018,105769.26,Dementia,297
OTPT,Very Senior,M,2013,67670.32,Dementia,27
OTPT,Very Senior,M,2014,93546.64,Dementia,252
OTPT,Very Senior,M,2015,104413.48,Dementia,374
OTPT,Very Senior,M,2016,148452.52,Dementia,361
OTPT,Very Senior,M,2017,158120.22,Dementia,614
OTPT,Very Senior,M,2018,43727.27,Dementia,231
OTPT,Young Adult,F,2013,41820660.12000001,Dementia,156
OTPT,Young Adult,F,2014,41813150.64000001,Dementia,192
OTPT,Young Adult,F,2015,43950173.06000001,Dementia,202
OTPT,Young Adult,F,2016,42633917.46000001,Dementia,400
OTPT,Young Adult,F,2017,42571128.2,Dementia,293
OTPT,Young Adult,F,2018,41223288.32,Dementia,192
OTPT,Young Adult,M,2013,5450954.71,Dementia,104
OTPT,Young Adult,M,2014,6185201.93,Dementia,36
OTPT,Young Adult,M,2015,7264195.72,Dementia,200
OTPT,Young Adult,M,2016,6906436.54,Dementia,230
OTPT,Young Adult,M,2017,7185381.24,Dementia,526
OTPT,Young Adult,M,2018,4910064.38,Dementia,124
ED,Adult,F,2013,4636688.32,Diabetes,3904
ED,Adult,F,2014,5129488.47,Diabetes,4826
ED,Adult,F,2015,6030988.24,Diabetes,5645
ED,Adult,F,2016,6668044.23,Diabetes,6052
ED,Adult,F,2017,6104549.94,Diabetes,6309
ED,Adult,F,2018,4965974.66,Diabetes,3969
ED,Adult,M,2013,1383879.7,Diabetes,890
ED,Adult,M,2014,1493040.18,Diabetes,1095
ED,Adult,M,2015,1691215.83,Diabetes,1337
ED,Adult,M,2016,1892196.98,Diabetes,1375
ED,Adult,M,2017,1663291.68,Diabetes,1383
ED,Adult,M,2018,1142494.86,Diabetes,829
ED,Baby,F,2013,1506181.32,Diabetes,11
ED,Baby,F,2014,1591753.84,Diabetes,18
ED,Baby,F,2015,2179468.78,Diabetes,19
ED,Baby,F,2016,2103045.03,Diabetes,47
ED,Baby,F,2017,2147211.03,Diabetes,31
ED,Baby,F,2018,2139962.34,Diabetes,43
ED,Baby,M,2013,1918688.48,Diabetes,13
ED,Baby,M,2014,1874186.84,Diabetes,14
ED,Baby,M,2015,2518979.01,Diabetes,28
ED,Baby,M,2016,2514023.21,Diabetes,20
ED,Baby,M,2017,2530652.26,Diabetes,27
ED,Baby,M,2018,2485816.2,Diabetes,25
ED,Child,F,2013,1901458.24,Diabetes,109
ED,Child,F,2014,2148463.84,Diabetes,125
ED,Child,F,2015,2673514.23,Diabetes,193
ED,Child,F,2016,2908185.71,Diabetes,177
ED,Child,F,2017,2974904.43,Diabetes,275
ED,Child,F,2018,2880758.78,Diabetes,208
ED,Child,M,2013,2433859.16,Diabetes,119
ED,Child,M,2014,2496700.91,Diabetes,122
ED,Child,M,2015,3116299.37,Diabetes,123
ED,Child,M,2016,3251563.11,Diabetes,204
ED,Child,M,2017,3476490.48,Diabetes,239
ED,Child,M,2018,3166700.21,Diabetes,150
ED,Middle Age,F,2013,2595474.77,Diabetes,3360
ED,Middle Age,F,2014,2816801.31,Diabetes,3907
ED,Middle Age,F,2015,3233222.24,Diabetes,4589
ED,Middle Age,F,2016,3601607.53,Diabetes,5142
ED,Middle Age,F,2017,3383271.8,Diabetes,5247
ED,Middle Age,F,2018,1687188.82,Diabetes,2510
ED,Middle Age,M,2013,1515062.05,Diabetes,1362
ED,Middle Age,M,2014,1733896.68,Diabetes,1752
ED,Middle Age,M,2015,1889629.66,Diabetes,1994
ED,Middle Age,M,2016,2130585.12,Diabetes,2551
ED,Middle Age,M,2017,2086166.55,Diabetes,2711
ED,Middle Age,M,2018,1081621.98,Diabetes,1267
ED,PreSchool,F,2013,1041299.14,Diabetes,17
ED,PreSchool,F,2014,999873.52,Diabetes,22
ED,PreSchool,F,2015,1327170.08,Diabetes,55
ED,PreSchool,F,2016,1338599.82,Diabetes,32
ED,PreSchool,F,2017,1303292.38,Diabetes,32
ED,PreSchool,F,2018,1315556.77,Diabetes,27
ED,PreSchool,M,2013,1217668.55,Diabetes,17
ED,PreSchool,M,2014,1262085.22,Diabetes,21
ED,PreSchool,M,2015,1565470.56,Diabetes,30
ED,PreSchool,M,2016,1583737.79,Diabetes,43
ED,PreSchool,M,2017,1617136.44,Diabetes,36
ED,PreSchool,M,2018,1577395.32,Diabetes,22
ED,Senior,F,2013,163132.82,Diabetes,245
ED,Senior,F,2014,229752.53,Diabetes,268
ED,Senior,F,2015,236777.23,Diabetes,355
ED,Senior,F,2016,257888.06,Diabetes,381
ED,Senior,F,2017,259595.61,Diabetes,432
ED,Senior,F,2018,152592.77,Diabetes,223
ED,Senior,M,2013,109377.86,Diabetes,140
ED,Senior,M,2014,120284.48,Diabetes,183
ED,Senior,M,2015,120818.5,Diabetes,174
ED,Senior,M,2016,124722,Diabetes,213
ED,Senior,M,2017,112139.19,Diabetes,150
ED,Senior,M,2018,51383.58,Diabetes,64
ED,Teen,F,2013,2135877.05,Diabetes,252
ED,Teen,F,2014,2473588.95,Diabetes,383
ED,Teen,F,2015,3155328.06,Diabetes,571
ED,Teen,F,2016,3381209.07,Diabetes,682
ED,Teen,F,2017,3451621.76,Diabetes,654
ED,Teen,F,2018,3322323.1,Diabetes,539
ED,Teen,M,2013,1684301.71,Diabetes,132
ED,Teen,M,2014,1655936.46,Diabetes,142
ED,Teen,M,2015,2091976.99,Diabetes,195
ED,Teen,M,2016,2250623.48,Diabetes,253
ED,Teen,M,2017,2169843.33,Diabetes,238
ED,Teen,M,2018,2053367.13,Diabetes,200
ED,Very Senior,F,2013,24011.35,Diabetes,1
ED,Very Senior,F,2014,5662.22,Diabetes,7
ED,Very Senior,F,2015,19915.579999999998,Diabetes,11
ED,Very Senior,F,2016,19223.68,Diabetes,21
ED,Very Senior,F,2017,23762.88,Diabetes,31
ED,Very Senior,F,2018,7034.89,Diabetes,12
ED,Very Senior,M,2013,2711.0099999999998,Diabetes,0
ED,Very Senior,M,2014,2901.05,Diabetes,3
ED,Very Senior,M,2015,9589.12,Diabetes,5
ED,Very Senior,M,2016,10243.94,Diabetes,18
ED,Very Senior,M,2017,5788.57,Diabetes,11
ED,Very Senior,M,2018,9770.33,Diabetes,12
ED,Young Adult,F,2013,7916135.01,Diabetes,2400
ED,Young Adult,F,2014,8089249.19,Diabetes,2822
ED,Young Adult,F,2015,9525834.45,Diabetes,3737
ED,Young Adult,F,2016,10470118.09,Diabetes,4450
ED,Young Adult,F,2017,9768073.43,Diabetes,3975
ED,Young Adult,F,2018,8986275.33,Diabetes,2689
ED,Young Adult,M,2013,1184534.76,Diabetes,422
ED,Young Adult,M,2014,1272373.27,Diabetes,530
ED,Young Adult,M,2015,1542323.39,Diabetes,573
ED,Young Adult,M,2016,1671619.83,Diabetes,640
ED,Young Adult,M,2017,1659066.17,Diabetes,640
ED,Young Adult,M,2018,1007085.63,Diabetes,322
INPT,Adult,F,2013,16461803.94,Diabetes,823
INPT,Adult,F,2014,19469987.83,Diabetes,961
INPT,Adult,F,2015,22259995.69,Diabetes,1096
INPT,Adult,F,2016,21954881.71,Diabetes,1026
INPT,Adult,F,2017,19512022.03,Diabetes,912
INPT,Adult,F,2018,14907468.05,Diabetes,622
INPT,Adult,M,2013,7736072.53,Diabetes,257
INPT,Adult,M,2014,7699572.2,Diabetes,328
INPT,Adult,M,2015,8757291.6,Diabetes,345
INPT,Adult,M,2016,10626546.31,Diabetes,341
INPT,Adult,M,2017,10896721.57,Diabetes,436
INPT,Adult,M,2018,5015019.67,Diabetes,214
INPT,Baby,F,2013,16555105.89,Diabetes,0
INPT,Baby,F,2014,15875869.49,Diabetes,2
INPT,Baby,F,2015,18129983.05,Diabetes,10
INPT,Baby,F,2016,18440029.34,Diabetes,13
INPT,Baby,F,2017,14346605.08,Diabetes,7
INPT,Baby,F,2018,19612069.49,Diabetes,2
INPT,Baby,M,2013,15109820.12,Diabetes,7
INPT,Baby,M,2014,16229599.55,Diabetes,4
INPT,Baby,M,2015,21306934.89,Diabetes,14
INPT,Baby,M,2016,18592003.33,Diabetes,3
INPT,Baby,M,2017,22600360.39,Diabetes,7
INPT,Baby,M,2018,18659995.79,Diabetes,2
INPT,Child,F,2013,2777585.94,Diabetes,22
INPT,Child,F,2014,3430252.3,Diabetes,32
INPT,Child,F,2015,4701342.93,Diabetes,47
INPT,Child,F,2016,5405092.01,Diabetes,45
INPT,Child,F,2017,5350544.77,Diabetes,53
INPT,Child,F,2018,4547234.91,Diabetes,67
INPT,Child,M,2013,4530032.13,Diabetes,34
INPT,Child,M,2014,4853282.26,Diabetes,23
INPT,Child,M,2015,5445926.74,Diabetes,22
INPT,Child,M,2016,5558426.33,Diabetes,38
INPT,Child,M,2017,6662601.41,Diabetes,41
INPT,Child,M,2018,7182341.58,Diabetes,31
INPT,Middle Age,F,2013,21876665.29,Diabetes,1226
INPT,Middle Age,F,2014,22979314.55,Diabetes,1287
INPT,Middle Age,F,2015,25740765.65,Diabetes,1471
INPT,Middle Age,F,2016,26454508.75,Diabetes,1498
INPT,Middle Age,F,2017,25885326.8,Diabetes,1488
INPT,Middle Age,F,2018,13704996.52,Diabetes,763
INPT,Middle Age,M,2013,16136945.33,Diabetes,721
INPT,Middle Age,M,2014,19394542.27,Diabetes,810
INPT,Middle Age,M,2015,20911904.33,Diabetes,863
INPT,Middle Age,M,2016,21338834.16,Diabetes,955
INPT,Middle Age,M,2017,22530203.92,Diabetes,1088
INPT,Middle Age,M,2018,11180697.51,Diabetes,531
INPT,PreSchool,F,2013,2471195.27,Diabetes,4
INPT,PreSchool,F,2014,1108688.08,Diabetes,4
INPT,PreSchool,F,2015,1941255.72,Diabetes,8
INPT,PreSchool,F,2016,2076944.23,Diabetes,2
INPT,PreSchool,F,2017,1149509.95,Diabetes,5
INPT,PreSchool,F,2018,1379026.57,Diabetes,2
INPT,PreSchool,M,2013,1740063.69,Diabetes,7
INPT,PreSchool,M,2014,2008181.51,Diabetes,4
INPT,PreSchool,M,2015,1677937.63,Diabetes,1
INPT,PreSchool,M,2016,2469335.25,Diabetes,2
INPT,PreSchool,M,2017,3100235.48,Diabetes,4
INPT,PreSchool,M,2018,1966010.68,Diabetes,2
INPT,Senior,F,2013,1888657.81,Diabetes,119
INPT,Senior,F,2014,1756026.83,Diabetes,114
INPT,Senior,F,2015,2790276.52,Diabetes,185
INPT,Senior,F,2016,3168620.09,Diabetes,186
INPT,Senior,F,2017,3657024.14,Diabetes,236
INPT,Senior,F,2018,1154725.79,Diabetes,72
INPT,Senior,M,2013,1533682.95,Diabetes,54
INPT,Senior,M,2014,1029932.29,Diabetes,48
INPT,Senior,M,2015,1511443.64,Diabetes,55
INPT,Senior,M,2016,1646031.11,Diabetes,76
INPT,Senior,M,2017,1422874.1199999999,Diabetes,83
INPT,Senior,M,2018,572522.59,Diabetes,30
INPT,Teen,F,2013,5234208.77,Diabetes,45
INPT,Teen,F,2014,4972119.84,Diabetes,73
INPT,Teen,F,2015,6480040.43,Diabetes,115
INPT,Teen,F,2016,7931001.15,Diabetes,153
INPT,Teen,F,2017,8635115.58,Diabetes,129
INPT,Teen,F,2018,7534789.5,Diabetes,114
INPT,Teen,M,2013,3206437.61,Diabetes,30
INPT,Teen,M,2014,3608024.63,Diabetes,38
INPT,Teen,M,2015,5318421.99,Diabetes,41
INPT,Teen,M,2016,5272278.84,Diabetes,39
INPT,Teen,M,2017,4593779.69,Diabetes,70
INPT,Teen,M,2018,5607691.3,Diabetes,54
INPT,Very Senior,F,2013,125988.39,Diabetes,3
INPT,Very Senior,F,2014,75667.93000000001,Diabetes,2
INPT,Very Senior,F,2015,277863.04,Diabetes,14
INPT,Very Senior,F,2016,411681.88,Diabetes,18
INPT,Very Senior,F,2017,327487.16,Diabetes,16
INPT,Very Senior,F,2018,80277.66,Diabetes,1
INPT,Very Senior,M,2013,115936.43,Diabetes,4
INPT,Very Senior,M,2014,182940.5,Diabetes,9
INPT,Very Senior,M,2015,174860.23,Diabetes,9
INPT,Very Senior,M,2016,272802.12,Diabetes,12
INPT,Very Senior,M,2017,163682.2,Diabetes,10
INPT,Very Senior,M,2018,74013,Diabetes,4
INPT,Young Adult,F,2013,25930020.31,Diabetes,458
INPT,Young Adult,F,2014,28246204.23,Diabetes,507
INPT,Young Adult,F,2015,28716004.29,Diabetes,597
INPT,Young Adult,F,2016,29129208.9,Diabetes,641
INPT,Young Adult,F,2017,30903516.41,Diabetes,567
INPT,Young Adult,F,2018,28713908.5,Diabetes,506
INPT,Young Adult,M,2013,5766973.61,Diabetes,106
INPT,Young Adult,M,2014,5795279.86,Diabetes,140
INPT,Young Adult,M,2015,7368311.5,Diabetes,158
INPT,Young Adult,M,2016,7263932.05,Diabetes,189
INPT,Young Adult,M,2017,6945169.06,Diabetes,176
INPT,Young Adult,M,2018,4020384.84,Diabetes,101
OTPT,Adult,F,2013,26371180.78,Diabetes,54453
OTPT,Adult,F,2014,29474834.63000001,Diabetes,64786
OTPT,Adult,F,2015,33084137.450000007,Diabetes,72091
OTPT,Adult,F,2016,33341816.86,Diabetes,80378
OTPT,Adult,F,2017,34144283.809999995,Diabetes,86981
OTPT,Adult,F,2018,29378421.610000003,Diabetes,63251
OTPT,Adult,M,2013,8484630.57,Diabetes,15298
OTPT,Adult,M,2014,8993299.81,Diabetes,17934
OTPT,Adult,M,2015,9992523.93,Diabetes,18688
OTPT,Adult,M,2016,10262520.75,Diabetes,20615
OTPT,Adult,M,2017,11108811.040000001,Diabetes,24888
OTPT,Adult,M,2018,8263724.390000001,Diabetes,14643
OTPT,Baby,F,2013,14188620.709999999,Diabetes,70
OTPT,Baby,F,2014,14954701.06,Diabetes,99
OTPT,Baby,F,2015,15614265.27,Diabetes,449
OTPT,Baby,F,2016,15867768.37,Diabetes,384
OTPT,Baby,F,2017,15785849.26,Diabetes,390
OTPT,Baby,F,2018,15113281.69,Diabetes,248
OTPT,Baby,M,2013,17827916.11,Diabetes,155
OTPT,Baby,M,2014,17682270.41,Diabetes,170
OTPT,Baby,M,2015,19558792.229999997,Diabetes,402
OTPT,Baby,M,2016,20121305.68,Diabetes,206
OTPT,Baby,M,2017,20183089.97,Diabetes,284
OTPT,Baby,M,2018,19419288.41,Diabetes,307
OTPT,Child,F,2013,15534524.07,Diabetes,1670
OTPT,Child,F,2014,17613377.970000003,Diabetes,2046
OTPT,Child,F,2015,20585612.88,Diabetes,2558
OTPT,Child,F,2016,21212272.050000004,Diabetes,3241
OTPT,Child,F,2017,23080517.29,Diabetes,4578
OTPT,Child,F,2018,21023541.76,Diabetes,4834
OTPT,Child,M,2013,19483157.939999998,Diabetes,2125
OTPT,Child,M,2014,21393184.42,Diabetes,1906
OTPT,Child,M,2015,24399274.369999997,Diabetes,2391
OTPT,Child,M,2016,25694466.340000007,Diabetes,3993
OTPT,Child,M,2017,28175184.809999995,Diabetes,4383
OTPT,Child,M,2018,23611522,Diabetes,3152
OTPT,Middle Age,F,2013,25297355.14,Diabetes,86224
OTPT,Middle Age,F,2014,27978943.900000006,Diabetes,97732
OTPT,Middle Age,F,2015,32227171.230000004,Diabetes,117043
OTPT,Middle Age,F,2016,32072051.019999996,Diabetes,133593
OTPT,Middle Age,F,2017,34602019.36,Diabetes,146294
OTPT,Middle Age,F,2018,18202307.930000003,Diabetes,77579
OTPT,Middle Age,M,2013,16123964.69,Diabetes,41580
OTPT,Middle Age,M,2014,18037288.69,Diabetes,47454
OTPT,Middle Age,M,2015,20432834.71,Diabetes,56900
OTPT,Middle Age,M,2016,20496780.169999998,Diabetes,66458
OTPT,Middle Age,M,2017,22381313.150000002,Diabetes,76131
OTPT,Middle Age,M,2018,12257608.47,Diabetes,38055
OTPT,PreSchool,F,2013,9443598.54,Diabetes,220
OTPT,PreSchool,F,2014,9116648.02,Diabetes,281
OTPT,PreSchool,F,2015,9352372.799999999,Diabetes,705
OTPT,PreSchool,F,2016,9292851.1,Diabetes,381
OTPT,PreSchool,F,2017,9506786.88,Diabetes,416
OTPT,PreSchool,F,2018,8431096.72,Diabetes,480
OTPT,PreSchool,M,2013,11432647.42,Diabetes,329
OTPT,PreSchool,M,2014,11478065.06,Diabetes,406
OTPT,PreSchool,M,2015,12126184.17,Diabetes,443
OTPT,PreSchool,M,2016,12519989.5,Diabetes,280
OTPT,PreSchool,M,2017,12949196.73,Diabetes,471
OTPT,PreSchool,M,2018,11620216.530000001,Diabetes,430
OTPT,Senior,F,2013,2261000.96,Diabetes,10203
OTPT,Senior,F,2014,2662182.01,Diabetes,10640
OTPT,Senior,F,2015,3016955.72,Diabetes,12788
OTPT,Senior,F,2016,3112536.95,Diabetes,15783
OTPT,Senior,F,2017,3432754.12,Diabetes,18800
OTPT,Senior,F,2018,1539438.19,Diabetes,8453
OTPT,Senior,M,2013,949995.81,Diabetes,3239
OTPT,Senior,M,2014,1097095.4,Diabetes,3663
OTPT,Senior,M,2015,1150833.79,Diabetes,4065
OTPT,Senior,M,2016,1276267.36,Diabetes,6015
OTPT,Senior,M,2017,1215185.56,Diabetes,5850
OTPT,Senior,M,2018,636651.66,Diabetes,2620
OTPT,Teen,F,2013,12789215.049999999,Diabetes,3875
OTPT,Teen,F,2014,13597983,Diabetes,4919
OTPT,Teen,F,2015,16410573.6,Diabetes,6474
OTPT,Teen,F,2016,16279688.74,Diabetes,8082
OTPT,Teen,F,2017,17356675.02,Diabetes,8120
OTPT,Teen,F,2018,16634829.41,Diabetes,6846
OTPT,Teen,M,2013,8815627.79,Diabetes,2189
OTPT,Teen,M,2014,9786065.12,Diabetes,2482
OTPT,Teen,M,2015,11627542.87,Diabetes,3109
OTPT,Teen,M,2016,12746829.76,Diabetes,3631
OTPT,Teen,M,2017,13475822.32,Diabetes,4557
OTPT,Teen,M,2018,11684693.23,Diabetes,4077
OTPT,Very Senior,F,2013,101929.39,Diabetes,256
OTPT,Very Senior,F,2014,87474.22,Diabetes,251
OTPT,Very Senior,F,2015,181963.4,Diabetes,546
OTPT,Very Senior,F,2016,267827.55,Diabetes,1056
OTPT,Very Senior,F,2017,274008.79,Diabetes,1315
OTPT,Very Senior,F,2018,105769.26,Diabetes,408
OTPT,Very Senior,M,2013,67670.32,Diabetes,171
OTPT,Very Senior,M,2014,93546.64,Diabetes,528
OTPT,Very Senior,M,2015,104413.48,Diabetes,816
OTPT,Very Senior,M,2016,148452.52,Diabetes,958
OTPT,Very Senior,M,2017,158120.22,Diabetes,880
OTPT,Very Senior,M,2018,43727.27,Diabetes,385
OTPT,Young Adult,F,2013,41820660.12000001,Diabetes,22589
OTPT,Young Adult,F,2014,41813150.64000001,Diabetes,25661
OTPT,Young Adult,F,2015,43950173.06000001,Diabetes,30657
OTPT,Young Adult,F,2016,42633917.46000001,Diabetes,34737
OTPT,Young Adult,F,2017,42571128.2,Diabetes,34383
OTPT,Young Adult,F,2018,41223288.32,Diabetes,26938
OTPT,Young Adult,M,2013,5450954.71,Diabetes,5671
OTPT,Young Adult,M,2014,6185201.93,Diabetes,6020
OTPT,Young Adult,M,2015,7264195.72,Diabetes,7949
OTPT,Young Adult,M,2016,6906436.54,Diabetes,8247
OTPT,Young Adult,M,2017,7185381.24,Diabetes,9335
OTPT,Young Adult,M,2018,4910064.38,Diabetes,4969
ED,Adult,F,2013,4636688.32,Epilepsy,1125
ED,Adult,F,2014,5129488.47,Epilepsy,1532
ED,Adult,F,2015,6030988.24,Epilepsy,1661
ED,Adult,F,2016,6668044.23,Epilepsy,2019
ED,Adult,F,2017,6104549.94,Epilepsy,2132
ED,Adult,F,2018,4965974.66,Epilepsy,1319
ED,Adult,M,2013,1383879.7,Epilepsy,524
ED,Adult,M,2014,1493040.18,Epilepsy,582
ED,Adult,M,2015,1691215.83,Epilepsy,591
ED,Adult,M,2016,1892196.98,Epilepsy,562
ED,Adult,M,2017,1663291.68,Epilepsy,765
ED,Adult,M,2018,1142494.86,Epilepsy,325
ED,Baby,F,2013,1506181.32,Epilepsy,95
ED,Baby,F,2014,1591753.84,Epilepsy,114
ED,Baby,F,2015,2179468.78,Epilepsy,173
ED,Baby,F,2016,2103045.03,Epilepsy,206
ED,Baby,F,2017,2147211.03,Epilepsy,181
ED,Baby,F,2018,2139962.34,Epilepsy,194
ED,Baby,M,2013,1918688.48,Epilepsy,195
ED,Baby,M,2014,1874186.84,Epilepsy,174
ED,Baby,M,2015,2518979.01,Epilepsy,230
