"","ED_DISCHARGE_DX_DESC","CODE_1","CODE_P","ED_NOT_NEEDED_PROP","PREVENTABILITY","n"
"10334","Displaced transverse fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion","S82.222N","S82",0,0,6
"10335","Displaced transverse fracture of shaft of left ulna, initial encounter for closed fracture","S52.222A","S52",0,0,35
"10336","Displaced transverse fracture of shaft of left ulna, subsequent encounter for closed fracture with routine healing","S52.222D","S52",0,0,28
"10337","Displaced transverse fracture of shaft of left ulna, subsequent encounter for open fracture type I or II with routine healing","S52.222E","S52",0,0,1
"10338","Displaced transverse fracture of shaft of right femur, initial encounter for closed fracture","S72.321A","S72",0,0,28
"10339","Displaced transverse fracture of shaft of right femur, initial encounter for open fracture type I or II","S72.321B","S72",0,0,1
"10340","Displaced transverse fracture of shaft of right femur, subsequent encounter for closed fracture with routine healing","S72.321D","S72",0,0,37
"10341","Displaced transverse fracture of shaft of right fibula, initial encounter for closed fracture","S82.421A","S82",0,0,7
"10342","Displaced transverse fracture of shaft of right fibula, subsequent encounter for closed fracture with nonunion","S82.421K","S82",0,0,1
"10343","Displaced transverse fracture of shaft of right fibula, subsequent encounter for closed fracture with routine healing","S82.421D","S82",0,0,3
"10344","Displaced transverse fracture of shaft of right radius, initial encounter for closed fracture","S52.321A","S52",0,0,97
"10345","Displaced transverse fracture of shaft of right radius, initial encounter for open fracture type I or II","S52.321B","S52",0,0,1
"10346","Displaced transverse fracture of shaft of right radius, subsequent encounter for closed fracture with malunion","S52.321P","S52",0,0,1
"10347","Displaced transverse fracture of shaft of right radius, subsequent encounter for closed fracture with routine healing","S52.321D","S52",0,0,59
"10348","Displaced transverse fracture of shaft of right tibia, initial encounter for closed fracture","S82.221A","S82",0,0,19
"10349","Displaced transverse fracture of shaft of right tibia, initial encounter for open fracture type I or II","S82.221B","S82",0,0,2
"10350","Displaced transverse fracture of shaft of right tibia, subsequent encounter for closed fracture with routine healing","S82.221D","S82",0,0,26
"10351","Displaced transverse fracture of shaft of right tibia, subsequent encounter for open fracture type I or II with nonunion","S82.221M","S82",0,0,1
"10352","Displaced transverse fracture of shaft of right tibia, subsequent encounter for open fracture type I or II with routine healing","S82.221E","S82",0,0,1
"10353","Displaced transverse fracture of shaft of right ulna, initial encounter for closed fracture","S52.221A","S52",0,0,30
"10354","Displaced transverse fracture of shaft of right ulna, subsequent encounter for closed fracture with delayed healing","S52.221G","S52",0,0,3
"10355","Displaced transverse fracture of shaft of right ulna, subsequent encounter for closed fracture with routine healing","S52.221D","S52",0,0,43
"10356","Displaced transverse fracture of unspecified patella, initial encounter for closed fracture","S82.033A","S82",0,0,1
"10357","Displaced trimalleolar fracture of left lower leg, initial encounter for closed fracture","S82.852A","S82",0,0,172
"10358","Displaced trimalleolar fracture of left lower leg, initial encounter for open fracture type I or II","S82.852B","S82",0,0,3
"10359","Displaced trimalleolar fracture of left lower leg, sequela","S82.852S","S82",0,0,1
"10360","Displaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with malunion","S82.852P","S82",0,0,2
"10361","Displaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with routine healing","S82.852D","S82",0,0,63
"10362","Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with nonunion","S82.852M","S82",0,0,6
"10363","Displaced trimalleolar fracture of right lower leg, initial encounter for closed fracture","S82.851A","S82",0,0,149
"10364","Displaced trimalleolar fracture of right lower leg, sequela","S82.851S","S82",0,0,11
"10365","Displaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with malunion","S82.851P","S82",0,0,1
"10366","Displaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with routine healing","S82.851D","S82",0,0,110
"10367","Displaced trimalleolar fracture of unspecified lower leg, initial encounter for closed fracture","S82.853A","S82",0,0,9
"10368","Displaced unspecified condyle fracture of lower end of left femur, initial encounter for closed fracture","S72.412A","S72",0,0,13
"10369","Displaced unspecified condyle fracture of lower end of left femur, subsequent encounter for closed fracture with routine healing","S72.412D","S72",0,0,4
"10370","Displaced unspecified condyle fracture of lower end of right femur, initial encounter for closed fracture","S72.411A","S72",0,0,7
"10371","Displaced unspecified condyle fracture of lower end of right femur, subsequent encounter for closed fracture with routine healing","S72.411D","S72",0,0,7
"10372","Displaced unspecified condyle fracture of lower end of unspecified femur, initial encounter for closed fracture","S72.413A","S72",0,0,1
"10373","Displaced unspecified fracture of left great toe, initial encounter for closed fracture","S92.402A","S92",0,0,53
"10374","Displaced unspecified fracture of left great toe, subsequent encounter for fracture with delayed healing","S92.402G","S92",0,0,3
"10375","Displaced unspecified fracture of left great toe, subsequent encounter for fracture with routine healing","S92.402D","S92",0,0,9
"10376","Displaced unspecified fracture of left lesser toe(s), initial encounter for closed fracture","S92.502A","S92",0,0,83
"10377","Displaced unspecified fracture of left lesser toe(s), initial encounter for open fracture","S92.502B","S92",0,0,2
"10378","Displaced unspecified fracture of left lesser toe(s), sequela","S92.502S","S92",0,0,2
"10379","Displaced unspecified fracture of left lesser toe(s), subsequent encounter for fracture with nonunion","S92.502K","S92",0,0,2
"10380","Displaced unspecified fracture of left lesser toe(s), subsequent encounter for fracture with routine healing","S92.502D","S92",0,0,7
"10381","Displaced unspecified fracture of right great toe, initial encounter for closed fracture","S92.401A","S92",0,0,62
"10382","Displaced unspecified fracture of right great toe, initial encounter for open fracture","S92.401B","S92",0,0,2
"10383","Displaced unspecified fracture of right great toe, subsequent encounter for fracture with malunion","S92.401P","S92",0,0,2
"10384","Displaced unspecified fracture of right great toe, subsequent encounter for fracture with nonunion","S92.401K","S92",0,0,1
"10385","Displaced unspecified fracture of right great toe, subsequent encounter for fracture with routine healing","S92.401D","S92",0,0,6
"10386","Displaced unspecified fracture of right lesser toe(s), initial encounter for closed fracture","S92.501A","S92",0,0,79
"10387","Displaced unspecified fracture of right lesser toe(s), initial encounter for open fracture","S92.501B","S92",0,0,2
"10388","Displaced unspecified fracture of right lesser toe(s), sequela","S92.501S","S92",0,0,1
"10389","Displaced unspecified fracture of right lesser toe(s), subsequent encounter for fracture with routine healing","S92.501D","S92",0,0,14
"10390","Displaced unspecified fracture of unspecified great toe, initial encounter for closed fracture","S92.403A","S92",0,0,4
"10391","Displacement (lateral) of globe, right eye","H05.211","H05",0,0,4
"10392","Displacement (lateral) of globe, unspecified eye","H05.219","H05",0,0,1
"10393","Displacement of artificial skin graft and decellularized allodermis, subsequent encounter","T85.623D","T85",1,0,2
"10394","Displacement of bile duct prosthesis, initial encounter","T85.520A","T85",0,0,7
"10395","Displacement of bile duct prosthesis, subsequent encounter","T85.520D","T85",1,0,1
"10396","Displacement of breast prosthesis and implant, initial encounter","T85.42XA","T85",0,0,1
"10397","Displacement of cardiac electrode, initial encounter","T82.120A","T82",0,0,4
"10398","Displacement of cervical intervertebral disc without myelopathy","722.0","722",0,0,1427
"10399","Displacement of cystostomy catheter, initial encounter","T83.020A","T83",0,0,1
"10400","Displacement of implanted electronic neurostimulator (electrode) of spinal cord, initial encounter","T85.122A","T85",0,0,2
"10401","Displacement of implanted electronic neurostimulator (electrode) of spinal cord, subsequent encounter","T85.122D","T85",1,0,1
"10402","Displacement of infusion catheter, initial encounter","T82.524A","T82",0,0,12
"10403","Displacement of insulin pump, initial encounter","T85.624A","T85",0,0,3
"10404","Displacement of internal fixation device of bone of left forearm, initial encounter","T84.123A","T84",0,0,1
"10405","Displacement of internal fixation device of bone of left lower leg, initial encounter","T84.127A","T84",0,0,3
"10406","Displacement of internal fixation device of bone of left lower leg, sequela","T84.127S","T84",0,0,1
"10407","Displacement of internal fixation device of bone of right lower leg, initial encounter","T84.126A","T84",0,0,5
"10408","Displacement of internal fixation device of bone of right lower leg, subsequent encounter","T84.126D","T84",1,0,1
"10409","Displacement of internal fixation device of bones of foot and toes, initial encounter","T84.223A","T84",0,0,1
"10410","Displacement of internal fixation device of bones of hand and fingers, initial encounter","T84.220A","T84",0,0,2
"10411","Displacement of internal fixation device of left femur, initial encounter","T84.125A","T84",0,0,2
"10412","Displacement of internal fixation device of left humerus, initial encounter","T84.121A","T84",0,0,2
"10413","Displacement of internal fixation device of other bones, initial encounter","T84.228A","T84",0,0,4
"10414","Displacement of internal fixation device of other bones, subsequent encounter","T84.228D","T84",1,0,1
"10415","Displacement of internal fixation device of right femur, initial encounter","T84.124A","T84",0,0,4
"10416","Displacement of internal fixation device of right humerus, initial encounter","T84.120A","T84",0,0,2
"10417","Displacement of internal fixation device of vertebrae, initial encounter","T84.226A","T84",0,0,33
"10418","Displacement of internal fixation device of vertebrae, subsequent encounter","T84.226D","T84",1,0,2
"10419","Displacement of intervertebral disc, site unspecified, without myelopathy","722.2","722",0,0,289
"10420","Displacement of intraocular lens, initial encounter","T85.22XA","T85",0,0,10
"10421","Displacement of intraocular lens, subsequent encounter","T85.22XD","T85",1,0,7
"10422","Displacement of intrauterine contraceptive device, initial encounter","T83.32XA","T83",0,0,152
"10423","Displacement of intrauterine contraceptive device, sequela","T83.32XS","T83",0,0,4
"10424","Displacement of intrauterine contraceptive device, subsequent encounter","T83.32XD","T83",1,0,15
"10425","Displacement of lumbar intervertebral disc without myelopathy","722.10","722",0.333333333333333,0,5573
"10426","Displacement of other bone devices, implants and grafts, initial encounter","T84.328A","T84",0,0,3
"10427","Displacement of other cardiac and vascular devices and implants, initial encounter","T82.528A","T82",0,0,11
"10428","Displacement of other gastrointestinal prosthetic devices, implants and grafts, initial encounter","T85.528A","T85",0,0,36
"10429","Displacement of other gastrointestinal prosthetic devices, implants and grafts, subsequent encounter","T85.528D","T85",1,0,2
"10430","Displacement of other implanted electronic stimulator of nervous system, initial encounter","T85.128A","T85",0,0,2
"10431","Displacement of other indwelling urethral catheter, initial encounter","T83.028A","T83",0,0,20
"10432","Displacement of other internal orthopedic devices, implants and grafts, initial encounter","T84.428A","T84",0,0,3
"10433","Displacement of other ocular prosthetic devices, implants and grafts, initial encounter","T85.328A","T85",0,0,2
"10434","Displacement of other ocular prosthetic devices, implants and grafts, subsequent encounter","T85.328D","T85",1,0,1
"10435","Displacement of other specified internal prosthetic devices, implants and grafts, initial encounter","T85.628A","T85",0,0,18
"10436","Displacement of other specified internal prosthetic devices, implants and grafts, subsequent encounter","T85.628D","T85",1,0,2
"10437","Displacement of other urinary devices and implants, initial encounter","T83.128A","T83",0,0,11
"10438","Displacement of other urinary devices and implants, subsequent encounter","T83.128D","T83",1,0,1
"10439","Displacement of other vascular grafts, initial encounter","T82.328A","T82",0,0,10
"10440","Displacement of other vascular grafts, subsequent encounter","T82.328D","T82",1,0,3
"10441","Displacement of permanent sutures, initial encounter","T85.622A","T85",0,0,1
"10442","Displacement of prosthetic orbit of left eye, initial encounter","T85.321A","T85",0,0,1
"10443","Displacement of thoracic intervertebral disc without myelopathy","722.11","722",0,0,149
"10444","Displacement of unspecified cardiac and vascular devices and implants, initial encounter","T82.529A","T82",0,0,4
"10445","Displacement of urinary stent, initial encounter","T83.122A","T83",0,0,5
"10446","Displacement of vascular dialysis catheter, initial encounter","T82.42XA","T82",0,0,15
"10447","Displacement of ventricular intracranial (communicating) shunt, initial encounter","T85.02XA","T85",0,0,19
"10448","Disproportion of other origin, antepartum condition or complication","653.83","653",0,0,2
"10449","Disproportion of reconstructed breast","612.1","612",0,0,20
"10450","Disproportion of reconstructed breast","N65.1","N65",0,0,13
"10451","Disruption of 24 hour sleep wake cycle, unspecified","780.55","780",0,0,80
"10452","Disruption of cesarean delivery wound","O90.0","O90",0,0,252
"10453","Disruption of cesarean wound, delivered, with mention of postpartum complication","674.12","674",0,0,14
"10454","Disruption of cesarean wound, postpartum condition or complication","674.14","674",0,0,262
"10455","Disruption of cesarean wound, unspecified as to episode of care or not applicable","674.10","674",0,0,33
"10456","Disruption of external operation (surgical) wound","998.32","998",0,0,840
"10457","Disruption of external operation (surgical) wound, not elsewhere classified, initial encounter","T81.31XA","T81",0,0,645
"10458","Disruption of external operation (surgical) wound, not elsewhere classified, sequela","T81.31XS","T81",0,0,258
"10459","Disruption of external operation (surgical) wound, not elsewhere classified, subsequent encounter","T81.31XD","T81",1,0,297
"10460","Disruption of family by separation and divorce","Z63.5","Z63",0,0,51
"10461","Disruption of internal operation (surgical) wound","998.31","998",0,0,131
"10462","Disruption of internal operation (surgical) wound, not elsewhere classified, initial encounter","T81.32XA","T81",0,0,51
"10463","Disruption of internal operation (surgical) wound, not elsewhere classified, subsequent encounter","T81.32XD","T81",1,0,28
"10464","Disruption of perineal obstetric wound","O90.1","O90",0,0,22
"10465","Disruption of perineal wound, delivered, with mention of postpartum complication","674.22","674",0,0,4
"10466","Disruption of perineal wound, postpartum condition or complication","674.24","674",0,0,38
"10467","Disruption of perineal wound, unspecified as to episode of care or not applicable","674.20","674",0,0,10
"10468","Disruption of traumatic injury wound repair","998.33","998",0,0,40
"10469","Disruption of traumatic injury wound repair, initial encounter","T81.33XA","T81",0,0,45
"10470","Disruption of traumatic injury wound repair, subsequent encounter","T81.33XD","T81",1,0,11
"10471","Disruption of wound, unspecified","998.30","998",0,0,212
"10472","Disruption of wound, unspecified, initial encounter","T81.30XA","T81",0,0,172
"10473","Disruption of wound, unspecified, sequela","T81.30XS","T81",0,0,4
"10474","Disruption of wound, unspecified, subsequent encounter","T81.30XD","T81",1,0,17
"10475","Dissection of abdominal aorta","I71.02","I71",0,0,12
"10476","Dissection of aorta, abdominal","441.02","441",0,0,12
"10477","Dissection of aorta, thoracic","441.01","441",0,0,130
"10478","Dissection of aorta, thoracoabdominal","441.03","441",0,0,19
"10479","Dissection of aorta, unspecified site","441.00","441",0,0,74
"10480","Dissection of carotid artery","443.21","443",0,0,23
"10481","Dissection of carotid artery","I77.71","I77",0,0,11
"10482","Dissection of cerebral arteries, nonruptured","I67.0","I67",0,0,1
"10483","Dissection of coronary artery","414.12","414",0,0,13
"10484","Dissection of iliac artery","I77.72","I77",0,0,1
"10485","Dissection of other artery","443.29","443",0,0,7
"10486","Dissection of other artery","I77.79","I77",0,0,17
"10487","Dissection of thoracic aorta","I71.01","I71",0,0,107
"10488","Dissection of thoracoabdominal aorta","I71.03","I71",0,0,29
"10489","Dissection of unspecified site of aorta","I71.00","I71",0,0,48
"10490","Dissection of vertebral artery","443.24","443",0,0,16
"10491","Dissection of vertebral artery","I77.74","I77",0,0,28
"10492","Disseminated candidiasis","112.5","112",0,0,48
"10493","Disseminated chorioretinal inflammation, generalized, left eye","H30.132","H30",0,0,1
"10494","Disseminated chorioretinal inflammation, generalized, right eye","H30.131","H30",0,0,7
"10495","Disseminated chorioretinitis, unspecified","363.10","363",0,0,5
"10496","Disseminated choroiditis and chorioretinitis, generalized","363.13","363",0,0,15
"10497","Disseminated choroiditis and chorioretinitis, peripheral","363.12","363",0,0,1
"10498","Disseminated due to other mycobacteria","031.2","031",0,0,22
"10499","Disseminated herpesviral disease","B00.7","B00",0,0,3
"10500","Disseminated intravascular coagulation [defibrination syndrome]","D65.","D65",0,0,4
"10501","Disseminated intravascular coagulation in newborn","776.2","776",0,0,17
"10502","Disseminated intravascular coagulation of newborn","P60.","P60",0,0,25
"10503","Disseminated malignant neoplasm without specification of site","199.0","199",0,0,27
"10504","Disseminated malignant neoplasm, unspecified","C80.0","C80",0,0,63
"10505","Disseminated mycobacterium avium-intracellulare complex (DMAC)","A31.2","A31",0,0,7
"10506","Disseminated retinitis and retinochoroiditis, pigment epitheliopathy","363.15","363",0,0,1
"10507","Disseminated strongyloidiasis","B78.7","B78",0,0,1
"10508","Disseminated superficial actinic porokeratosis (DSAP)","692.75","692",0,0,26
"10509","Disseminated superficial actinic porokeratosis (DSAP)","L56.5","L56",0,0,32
"10510","Disseminated zoster","B02.7","B02",0,0,17
"10511","Dissociated nystagmus","379.55","379",0,0,6
"10512","Dissociated nystagmus","H55.04","H55",0,0,7
"10513","Dissociative amnesia","300.12","300",0,0,10
"10514","Dissociative amnesia","F44.0","F44",0,0,1
"10515","Dissociative and conversion disorder, unspecified","F44.9","F44",0,0,139
"10516","Dissociative disorder or reaction, unspecified","300.15","300",0,0,32
"10517","Dissociative fugue","300.13","300",0,0,6
"10518","Dissociative fugue","F44.1","F44",0,0,5
"10519","Dissociative identity disorder","300.14","300",0,0,35
"10520","Dissociative identity disorder","F44.81","F44",0,0,58
"10521","Distal interphalangeal psoriatic arthropathy","L40.51","L40",0,0,2
"10522","Disturbance of salivary secretion","527.7","527",0,0,132
"10523","Disturbance of skin sensation","782.0","782",1,0,7238
"10524","Disturbance of temperature regulation of newborn, unspecified","P81.9","P81",0,0,451
"10525","Disturbances in tooth eruption","520.6","520",0,0,490
"10526","Disturbances in tooth eruption","K00.6","K00",0,0,89
"10527","Disturbances in tooth formation","K00.4","K00",0,0,2
"10528","Disturbances of amino-acid transport","270.0","270",0,0,226
"10529","Disturbances of branched-chain amino-acid metabolism","270.3","270",0,0,50
"10530","Disturbances of histidine metabolism","270.5","270",0,0,6
"10531","Disturbances of salivary secretion","K11.7","K11",0,0,135
"10532","Disturbances of sensation of smell and taste","781.1","781",0,0,91
"10533","Disturbances of sodium balance of newborn","P74.2","P74",0,0,5
"10534","Disturbances of sulphur-bearing amino-acid metabolism","270.4","270",0,0,58
"10535","Disturbances of tooth formation","520.4","520",0,0,12
"10536","Disuse osteoporosis","733.03","733",0,0,1
"10537","Diverticulitis of both small and large intestine with perforation and abscess with bleeding","K57.41","K57",0,0,2
"10538","Diverticulitis of both small and large intestine with perforation and abscess without bleeding","K57.40","K57",0,0,1
"10539","Diverticulitis of both small and large intestine without perforation or abscess without bleeding","K57.52","K57",0,0,4
"10540","Diverticulitis of colon (without mention of hemorrhage)","562.11","562",0,0,1390
"10541","Diverticulitis of colon with hemorrhage","562.13","562",0,0,17
"10542","Diverticulitis of intestine, part unspecified, with perforation and abscess with bleeding","K57.81","K57",0,0,6
"10543","Diverticulitis of intestine, part unspecified, with perforation and abscess without bleeding","K57.80","K57",0,0,40
"10544","Diverticulitis of intestine, part unspecified, without perforation or abscess with bleeding","K57.93","K57",0,0,13
"10545","Diverticulitis of intestine, part unspecified, without perforation or abscess without bleeding","K57.92","K57",0,0,607
"10546","Diverticulitis of large intestine with perforation and abscess with bleeding","K57.21","K57",0,0,3
"10547","Diverticulitis of large intestine with perforation and abscess without bleeding","K57.20","K57",0,0,172
"10548","Diverticulitis of large intestine without perforation or abscess with bleeding","K57.33","K57",0,0,7
"10549","Diverticulitis of large intestine without perforation or abscess without bleeding","K57.32","K57",0,0,708
"10550","Diverticulitis of small intestine (without mention of hemorrhage)","562.01","562",0,0,7
"10551","Diverticulitis of small intestine (without mention of hemorrhage)_NA","562.01","562",0,0,1
"10552","Diverticulitis of small intestine with perforation and abscess without bleeding","K57.00","K57",0,0,2
"10553","Diverticulitis of small intestine without perforation or abscess with bleeding","K57.13","K57",0,0,3
"10554","Diverticulitis of small intestine without perforation or abscess without bleeding","K57.12","K57",0,0,19
"10555","Diverticulosis of both small and large intestine without perforation or abscess without bleeding","K57.50","K57",0,0,5
"10556","Diverticulosis of colon (without mention of hemorrhage)","562.10","562",0,0,1226
"10557","Diverticulosis of colon with hemorrhage","562.12","562",0,0,55
"10558","Diverticulosis of intestine, part unspecified, without perforation or abscess with bleeding","K57.91","K57",0,0,6
"10559","Diverticulosis of intestine, part unspecified, without perforation or abscess without bleeding","K57.90","K57",0,0,238
"10560","Diverticulosis of large intestine without perforation or abscess with bleeding","K57.31","K57",0,0,27
"10561","Diverticulosis of large intestine without perforation or abscess without bleeding","K57.30","K57",0,0,677
"10562","Diverticulosis of small intestine (without mention of hemorrhage)","562.00","562",0,0,15
"10563","Diverticulosis of small intestine without perforation or abscess with bleeding","K57.11","K57",0,0,1
"10564","Diverticulosis of small intestine without perforation or abscess without bleeding","K57.10","K57",0,0,12
"10565","Diverticulum of bladder","596.3","596",0,0,27
"10566","Diverticulum of bladder","N32.3","N32",0,0,21
"10567","Diverticulum of esophagus, acquired","530.6","530",0,0,14
"10568","Diverticulum of esophagus, acquired","K22.5","K22",0,0,17
"10569","Diverticulum of pharynx","750.27","750",0,0,3
"10570","Dizziness and giddiness","780.4","780",0.92,0,11573
"10571","Dizziness and giddiness","R42.","R42",0.92,0,11284
"10572","Dizziness and giddiness_NA","780.4","780",0.92,0,1
"10573","Do not resuscitate status","V49.86","V49",0,0,2
"10574","Dolichocephaly","Q67.2","Q67",0,0,1
"10575","Donor of unspecified organ or tissue","Z52.9","Z52",0,0,4
"10576","Donors of other specified organ or tissue","V59.8","V59",0,0,2
"10577","Donors of unspecified organ or tissue","V59.9","V59",0,0,2
"10578","Dorsalgia, unspecified","M54.9","M54",0.888888888888889,0,12674
"10579","Dorsopathy, unspecified","M53.9","M53",0,0,185
"10580","Double inlet ventricle","Q20.4","Q20",0,0,164
"10581","Double outlet right ventricle","745.11","745",0,0,581
"10582","Double outlet right ventricle","Q20.1","Q20",0,0,492
"10583","Double urethra","Q64.74","Q64",0,0,3
"10584","Doubling of uterus","752.2","752",0,0,10
"10585","Doubling of uterus with doubling of cervix and vagina without obstruction","Q51.10","Q51",0,0,1
"10586","Doubling of vagina, unspecified","Q52.10","Q52",0,0,4
"10587","Down's syndrome","758.0","758",0,0,2160
"10588","Down's syndrome_NA","758.0","758",0,0,4
"10589","Down syndrome, unspecified","Q90.9","Q90",0,0,2326
"10590","Dressler's syndrome","I24.1","I24",0,0,5
"10591","Driver injured in collision with other motor vehicles in traffic accident, initial encounter","V49.49XA","V49",0,0,1
"10592","Drowning and nonfatal submersion","994.1","994",0,0,131
"10593","Drug-induced adrenocortical insufficiency","E27.3","E27",0,0,19
"10594","Drug-induced androgenic alopecia","L64.0","L64",0,0,2
"10595","Drug-induced aplastic anemia","D61.1","D61",0,0,1
"10596","Drug-induced autoimmune hemolytic anemia","D59.0","D59",0,0,3
"10597","Drug-induced cataract, bilateral","H26.33","H26",0,0,1
"10598","Drug-induced cataract, right eye","H26.31","H26",0,0,4
"10599","Drug-induced chronic gout, multiple sites, without tophus (tophi)","M1A.29X0","M1A",0,0,3
"10600","Drug-induced chronic gout, right ankle and foot, without tophus (tophi)","M1A.2710","M1A",0,0,1
"10601","Drug-induced chronic gout, unspecified hand, without tophus (tophi)","M1A.2490","M1A",0,0,2
"10602","Drug-induced Cushing's syndrome","E24.2","E24",0,0,2
"10603","Drug-induced delirium","292.81","292",0,0,27
"10604","Drug-induced erectile dysfunction","N52.2","N52",0,0,12
"10605","Drug-induced folate deficiency anemia","D52.1","D52",0,0,3
"10606","Drug-induced gout, left ankle and foot","M10.272","M10",0,0,6
"10607","Drug-induced gout, right ankle and foot","M10.271","M10",0,0,5
"10608","Drug-induced gout, right knee","M10.261","M10",0,0,1
"10609","Drug-induced gout, unspecified ankle and foot","M10.279","M10",0,0,3
"10610","Drug-induced headache, not elsewhere classified, intractable","G44.41","G44",0,0,10
"10611","Drug-induced headache, not elsewhere classified, not intractable","G44.40","G44",0,0,72
"10612","Drug-induced hypoglycemia without coma","E16.0","E16",0,0,22
"10613","Drug-induced hypopituitarism","E23.1","E23",0,0,3
"10614","Drug-induced mood disorder","292.84","292",0,0,622
"10615","Drug-induced myopathy","G72.0","G72",0,0,3
"10616","Drug-induced obesity","E66.1","E66",1,0,20
"10617","Drug-induced polyneuropathy","G62.0","G62",0,0,91
"10618","Drug-induced psychotic disorder with delusions","292.11","292",0,0,19
"10619","Drug-induced psychotic disorder with hallucinations","292.12","292",0,0,101
"10620","Drug-induced systemic lupus erythematosus","M32.0","M32",0,0,4
"10621","Drug-induced thyroiditis","E06.4","E06",0,0,2
"10622","Drug-induced tremor","G25.1","G25",0,0,25
"10623","Drug abuse counseling and surveillance of drug abuser","Z71.51","Z71",0,0,34
"10624","Drug dependence of mother, antepartum condition or complication","648.33","648",0,0,1117
"10625","Drug dependence of mother, delivered,  with or without mention of antepartum condition","648.31","648",0,0,99
"10626","Drug dependence of mother, delivered, with mention of postpartum complication","648.32","648",0,0,3
"10627","Drug dependence of mother, postpartum condition or complication","648.34","648",0,0,34
"10628","Drug dependence of mother, unspecified as to episode of care or not applicable","648.30","648",0,0,52
"10629","Drug induced acute dystonia","G24.02","G24",0,0,51
"10630","Drug induced acute pancreatitis","K85.3","K85",0,0,9
"10631","Drug induced akathisia","G25.71","G25",0,0,16
"10632","Drug induced fever","R50.2","R50",0,0,62
"10633","Drug induced headache, not elsewhere classified","339.3","339",0,0,73
"10634","Drug induced neutropenia","288.03","288",0,0,232
"10635","Drug induced retention of urine","R33.0","R33",0,0,3
"10636","Drug induced sleep disorders","292.85","292",0,0,19
"10637","Drug induced subacute dyskinesia","G24.01","G24",0,0,60
"10638","Drug induced tics","G25.61","G25",0,0,4
"10639","Drug or chemical induced diabetes mellitus with diabetic cataract","E09.36","E09",0,0,1
"10640","Drug or chemical induced diabetes mellitus with diabetic nephropathy","E09.21","E09",0,0,1
"10641","Drug or chemical induced diabetes mellitus with foot ulcer","E09.621","E09",0,0,1
"10642","Drug or chemical induced diabetes mellitus with hyperglycemia","E09.65","E09",0,0,13
"10643","Drug or chemical induced diabetes mellitus with hypoglycemia without coma","E09.649","E09",0,0,9
"10644","Drug or chemical induced diabetes mellitus with ketoacidosis without coma","E09.10","E09",0,0,7
"10645","Drug or chemical induced diabetes mellitus with neurological complications with diabetic autonomic (poly)neuropathy","E09.43","E09",0,0,1
"10646","Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified","E09.40","E09",0,0,2
"10647","Drug or chemical induced diabetes mellitus with neurological complications with diabetic polyneuropathy","E09.42","E09",0,0,1
"10648","Drug or chemical induced diabetes mellitus with other skin ulcer","E09.622","E09",0,0,1
"10649","Drug or chemical induced diabetes mellitus with other specified complication","E09.69","E09",0,0,7
"10650","Drug or chemical induced diabetes mellitus with unspecified complications","E09.8","E09",0,0,1
"10651","Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema","E09.311","E09",0,0,1
"10652","Drug or chemical induced diabetes mellitus without complications","E09.9","E09",0,0,37
"10653","Drug photoallergic response","L56.1","L56",0,0,4
"10654","Drug phototoxic response","L56.0","L56",0,0,6
"10655","Drug reactions and intoxications specific to newborn","779.4","779",0,0,2
"10656","Drug use complicating childbirth","O99.324","O99",0,0,183
"10657","Drug use complicating pregnancy, first trimester","O99.321","O99",0,0,90
"10658","Drug use complicating pregnancy, second trimester","O99.322","O99",0,0,397
"10659","Drug use complicating pregnancy, third trimester","O99.323","O99",0,0,821
"10660","Drug use complicating pregnancy, unspecified trimester","O99.320","O99",0,0,330
"10661","Drug use complicating the puerperium","O99.325","O99",0,0,73
"10662","Drug withdrawal","292.0","292",0,0,1274
"10663","Drug withdrawal syndrome in newborn","779.5","779",0,0,1943
"10664","Drusen (degenerative)","362.57","362",0,0,100
"10665","Drusen (degenerative) of macula, bilateral","H35.363","H35",0,0,62
"10666","Drusen (degenerative) of macula, left eye","H35.362","H35",0,0,7
"10667","Drusen (degenerative) of macula, right eye","H35.361","H35",0,0,6
"10668","Drusen (degenerative) of macula, unspecified eye","H35.369","H35",0,0,8
"10669","Drusen of optic disc","377.21","377",0,0,59
"10670","Drusen of optic disc, bilateral","H47.323","H47",0,0,65
"10671","Drusen of optic disc, left eye","H47.322","H47",0,0,14
"10672","Drusen of optic disc, right eye","H47.321","H47",0,0,11
"10673","Drusen of optic disc, unspecified eye","H47.329","H47",0,0,1
"10674","Dry eye syndrome of bilateral lacrimal glands","H04.123","H04",1,0,1156
"10675","Dry eye syndrome of left lacrimal gland","H04.122","H04",1,0,18
"10676","Dry eye syndrome of right lacrimal gland","H04.121","H04",1,0,31
"10677","Dry eye syndrome of unspecified lacrimal gland","H04.129","H04",1,0,83
"10678","Dry mouth, unspecified","R68.2","R68",0,0,69
